Місто,Дата,Час,Вік,К-ть
Угринів,2021-02-05,2021-02-05 11:00:00,30-39,2519
Угринів,2021-02-05,2021-02-05 13:00:00,30-39,2467
Угринів,2021-02-02,2021-02-02 11:00:00,30-39,2437
Угринів,2021-02-05,2021-02-05 15:00:00,30-39,2426
Угринів,2021-02-04,2021-02-04 12:00:00,30-39,2399
Угринів,2021-02-05,2021-02-05 12:00:00,30-39,2398
Угринів,2021-02-05,2021-02-05 14:00:00,30-39,2394
Угринів,2021-02-02,2021-02-02 12:00:00,30-39,2371
Угринів,2021-02-01,2021-02-01 13:00:00,30-39,2361
Угринів,2021-02-09,2021-02-09 12:00:00,30-39,2348
Угринів,2021-02-04,2021-02-04 13:00:00,30-39,2338
Угринів,2021-02-03,2021-02-03 12:00:00,30-39,2336
Угринів,2021-02-01,2021-02-01 15:00:00,30-39,2319
Угринів,2021-02-05,2021-02-05 16:00:00,30-39,2312
Угринів,2021-02-03,2021-02-03 16:00:00,30-39,2306
Угринів,2021-02-01,2021-02-01 11:00:00,30-39,2304
Угринів,2021-02-03,2021-02-03 11:00:00,30-39,2288
Угринів,2021-02-02,2021-02-02 15:00:00,30-39,2288
Угринів,2021-02-09,2021-02-09 11:00:00,30-39,2285
Угринів,2021-02-02,2021-02-02 17:00:00,30-39,2274
Угринів,2021-02-04,2021-02-04 11:00:00,30-39,2273
Угринів,2021-02-02,2021-02-02 10:00:00,30-39,2270
Угринів,2021-02-11,2021-02-11 12:00:00,30-39,2268
Угринів,2021-02-01,2021-02-01 12:00:00,30-39,2262
Угринів,2021-02-05,2021-02-05 10:00:00,30-39,2257
Угринів,2021-02-08,2021-02-08 13:00:00,30-39,2247
Угринів,2021-02-03,2021-02-03 14:00:00,30-39,2231
Угринів,2021-02-11,2021-02-11 13:00:00,30-39,2229
Угринів,2021-02-01,2021-02-01 16:00:00,30-39,2228
Угринів,2021-02-01,2021-02-01 14:00:00,30-39,2226
Угринів,2021-02-03,2021-02-03 13:00:00,30-39,2216
Угринів,2021-02-02,2021-02-02 16:00:00,30-39,2215
Угринів,2021-02-01,2021-02-01 17:00:00,30-39,2214
Угринів,2021-02-11,2021-02-11 11:00:00,30-39,2206
Угринів,2021-02-03,2021-02-03 15:00:00,30-39,2205
Угринів,2021-02-04,2021-02-04 16:00:00,30-39,2205
Угринів,2021-02-09,2021-02-09 14:00:00,30-39,2204
Угринів,2021-02-11,2021-02-11 14:00:00,30-39,2202
Угринів,2021-02-03,2021-02-03 17:00:00,30-39,2199
Угринів,2021-02-09,2021-02-09 13:00:00,30-39,2191
Угринів,2021-02-02,2021-02-02 13:00:00,30-39,2190
Угринів,2021-02-19,2021-02-19 12:00:00,30-39,2181
Угринів,2021-02-04,2021-02-04 10:00:00,30-39,2177
Угринів,2021-02-11,2021-02-11 10:00:00,30-39,2172
Угринів,2021-02-09,2021-02-09 10:00:00,30-39,2167
Угринів,2021-02-03,2021-02-03 10:00:00,30-39,2166
Угринів,2021-02-04,2021-02-04 15:00:00,30-39,2164
Угринів,2021-02-09,2021-02-09 16:00:00,30-39,2161
Угринів,2021-02-11,2021-02-11 16:00:00,30-39,2160
Угринів,2021-02-08,2021-02-08 14:00:00,30-39,2154
Угринів,2021-02-02,2021-02-02 14:00:00,30-39,2145
Угринів,2021-02-04,2021-02-04 14:00:00,30-39,2142
Угринів,2021-02-08,2021-02-08 15:00:00,30-39,2128
Угринів,2021-02-09,2021-02-09 09:00:00,30-39,2115
Угринів,2021-02-11,2021-02-11 09:00:00,30-39,2109
Угринів,2021-02-08,2021-02-08 12:00:00,30-39,2108
Угринів,2021-02-17,2021-02-17 12:00:00,30-39,2103
Угринів,2021-02-19,2021-02-19 13:00:00,30-39,2099
Угринів,2021-02-17,2021-02-17 11:00:00,30-39,2098
Угринів,2021-02-18,2021-02-18 13:00:00,30-39,2090
Угринів,2021-02-01,2021-02-01 10:00:00,30-39,2082
Угринів,2021-02-08,2021-02-08 16:00:00,30-39,2077
Угринів,2021-02-11,2021-02-11 15:00:00,30-39,2076
Угринів,2021-02-19,2021-02-19 15:00:00,30-39,2076
Угринів,2021-02-16,2021-02-16 13:00:00,30-39,2073
Угринів,2021-02-09,2021-02-09 15:00:00,30-39,2068
Угринів,2021-02-18,2021-02-18 12:00:00,30-39,2066
Угринів,2021-02-19,2021-02-19 11:00:00,30-39,2059
Угринів,2021-02-16,2021-02-16 12:00:00,30-39,2055
Угринів,2021-02-16,2021-02-16 10:00:00,30-39,2048
Угринів,2021-02-17,2021-02-17 13:00:00,30-39,2040
Угринів,2021-02-19,2021-02-19 14:00:00,30-39,2040
Угринів,2021-02-08,2021-02-08 17:00:00,30-39,2039
Угринів,2021-02-18,2021-02-18 11:00:00,30-39,2039
Угринів,2021-02-02,2021-02-02 09:00:00,30-39,2036
Угринів,2021-02-19,2021-02-19 16:00:00,30-39,2035
Угринів,2021-02-05,2021-02-05 17:00:00,30-39,2034
Угринів,2021-02-17,2021-02-17 15:00:00,30-39,2031
Угринів,2021-02-08,2021-02-08 11:00:00,30-39,2030
Крихівці,2021-02-03,2021-02-03 12:00:00,30-39,2018
Крихівці,2021-02-09,2021-02-09 12:00:00,30-39,2012
Угринів,2021-02-04,2021-02-04 09:00:00,30-39,2011
Угринів,2021-02-04,2021-02-04 17:00:00,30-39,2008
Угринів,2021-02-17,2021-02-17 10:00:00,30-39,2006
Угринів,2021-02-01,2021-02-01 09:00:00,30-39,2004
Угринів,2021-02-08,2021-02-08 10:00:00,30-39,2000
Угринів,2021-02-18,2021-02-18 15:00:00,30-39,1999
Угринів,2021-02-11,2021-02-11 17:00:00,30-39,1995
Угринів,2021-02-10,2021-02-10 14:00:00,30-39,1995
Угринів,2021-02-15,2021-02-15 13:00:00,30-39,1990
Крихівці,2021-02-01,2021-02-01 13:00:00,30-39,1986
Угринів,2021-02-10,2021-02-10 10:00:00,30-39,1985
Угринів,2021-02-15,2021-02-15 12:00:00,30-39,1983
Угринів,2021-02-18,2021-02-18 10:00:00,30-39,1979
Угринів,2021-02-17,2021-02-17 14:00:00,30-39,1976
Угринів,2021-02-10,2021-02-10 11:00:00,30-39,1974
Угринів,2021-02-12,2021-02-12 12:00:00,30-39,1973
Угринів,2021-02-16,2021-02-16 15:00:00,30-39,1972
Крихівці,2021-02-09,2021-02-09 13:00:00,30-39,1971
Угринів,2021-02-09,2021-02-09 17:00:00,30-39,1958
Угринів,2021-02-16,2021-02-16 14:00:00,30-39,1956
Крихівці,2021-02-01,2021-02-01 11:00:00,30-39,1956
Угринів,2021-02-12,2021-02-12 11:00:00,30-39,1951
Угринів,2021-02-19,2021-02-19 10:00:00,30-39,1948
Угринів,2021-02-03,2021-02-03 09:00:00,30-39,1948
Угринів,2021-02-16,2021-02-16 11:00:00,30-39,1944
Угринів,2021-02-17,2021-02-17 16:00:00,30-39,1941
Крихівці,2021-02-09,2021-02-09 16:00:00,30-39,1931
Крихівці,2021-02-05,2021-02-05 13:00:00,30-39,1924
Крихівці,2021-02-03,2021-02-03 14:00:00,30-39,1923
Угринів,2021-02-16,2021-02-16 17:00:00,30-39,1922
Угринів,2021-02-05,2021-02-05 09:00:00,30-39,1921
Угринів,2021-02-15,2021-02-15 14:00:00,30-39,1918
Угринів,2021-02-10,2021-02-10 13:00:00,30-39,1915
Крихівці,2021-02-04,2021-02-04 12:00:00,30-39,1911
Угринів,2021-02-10,2021-02-10 12:00:00,30-39,1909
Угринів,2021-02-17,2021-02-17 17:00:00,30-39,1908
Угринів,2021-02-15,2021-02-15 11:00:00,30-39,1898
Крихівці,2021-02-01,2021-02-01 14:00:00,30-39,1896
Крихівці,2021-02-04,2021-02-04 11:00:00,30-39,1888
Крихівці,2021-02-09,2021-02-09 11:00:00,30-39,1888
Угринів,2021-02-18,2021-02-18 14:00:00,30-39,1886
Крихівці,2021-02-03,2021-02-03 11:00:00,30-39,1885
Крихівці,2021-02-05,2021-02-05 12:00:00,30-39,1884
Крихівці,2021-02-03,2021-02-03 13:00:00,30-39,1883
Угринів,2021-02-12,2021-02-12 13:00:00,30-39,1874
Угринів,2021-02-12,2021-02-12 16:00:00,30-39,1872
Угринів,2021-02-16,2021-02-16 16:00:00,30-39,1868
Угринів,2021-02-10,2021-02-10 15:00:00,30-39,1865
Крихівці,2021-02-01,2021-02-01 15:00:00,30-39,1865
Крихівці,2021-02-03,2021-02-03 15:00:00,30-39,1861
Крихівці,2021-02-01,2021-02-01 12:00:00,30-39,1861
Крихівці,2021-02-02,2021-02-02 16:00:00,30-39,1860
Крихівці,2021-02-01,2021-02-01 10:00:00,30-39,1857
Угринів,2021-02-10,2021-02-10 17:00:00,30-39,1856
Угринів,2021-02-18,2021-02-18 17:00:00,30-39,1855
Крихівці,2021-02-04,2021-02-04 13:00:00,30-39,1851
Крихівці,2021-02-01,2021-02-01 16:00:00,30-39,1849
Крихівці,2021-02-02,2021-02-02 11:00:00,30-39,1849
Крихівці,2021-02-05,2021-02-05 16:00:00,30-39,1847
Крихівці,2021-02-02,2021-02-02 12:00:00,30-39,1843
Крихівці,2021-02-04,2021-02-04 10:00:00,30-39,1836
Крихівці,2021-02-05,2021-02-05 11:00:00,30-39,1836
Угринів,2021-02-12,2021-02-12 10:00:00,30-39,1835
Угринів,2021-02-10,2021-02-10 16:00:00,30-39,1821
Угринів,2021-02-08,2021-02-08 09:00:00,30-39,1816
Угринів,2021-02-18,2021-02-18 16:00:00,30-39,1808
Крихівці,2021-02-03,2021-02-03 16:00:00,30-39,1806
Крихівці,2021-02-04,2021-02-04 15:00:00,30-39,1803
Крихівці,2021-02-05,2021-02-05 14:00:00,30-39,1797
Крихівці,2021-02-08,2021-02-08 16:00:00,30-39,1797
Крихівці,2021-02-08,2021-02-08 11:00:00,30-39,1794
Крихівці,2021-02-09,2021-02-09 14:00:00,30-39,1791
Угринів,2021-02-12,2021-02-12 15:00:00,30-39,1791
Крихівці,2021-02-08,2021-02-08 10:00:00,30-39,1786
Крихівці,2021-02-04,2021-02-04 14:00:00,30-39,1785
Крихівці,2021-02-05,2021-02-05 15:00:00,30-39,1773
Угринів,2021-02-15,2021-02-15 16:00:00,30-39,1760
Угринів,2021-02-10,2021-02-10 09:00:00,30-39,1760
Угринів,2021-02-02,2021-02-02 08:00:00,30-39,1759
Угринів,2021-02-19,2021-02-19 17:00:00,30-39,1755
Крихівці,2021-02-11,2021-02-11 16:00:00,30-39,1754
Угринів,2021-02-18,2021-02-18 09:00:00,30-39,1749
Крихівці,2021-02-03,2021-02-03 10:00:00,30-39,1749
Крихівці,2021-02-02,2021-02-02 10:00:00,30-39,1748
Угринів,2021-02-12,2021-02-12 14:00:00,30-39,1738
Угринів,2021-02-16,2021-02-16 09:00:00,30-39,1735
Крихівці,2021-02-08,2021-02-08 17:00:00,30-39,1733
Крихівці,2021-02-02,2021-02-02 13:00:00,30-39,1732
Крихівці,2021-02-18,2021-02-18 12:00:00,30-39,1731
Крихівці,2021-02-09,2021-02-09 15:00:00,30-39,1731
Крихівці,2021-02-03,2021-02-03 17:00:00,30-39,1729
Крихівці,2021-02-01,2021-02-01 17:00:00,30-39,1728
Крихівці,2021-02-09,2021-02-09 10:00:00,30-39,1725
Крихівці,2021-02-11,2021-02-11 17:00:00,30-39,1721
Угринів,2021-02-09,2021-02-09 08:00:00,30-39,1716
Крихівці,2021-02-08,2021-02-08 12:00:00,30-39,1715
Угринів,2021-02-15,2021-02-15 15:00:00,30-39,1710
Угринів,2021-02-17,2021-02-17 09:00:00,30-39,1708
Крихівці,2021-02-11,2021-02-11 12:00:00,30-39,1706
Крихівці,2021-02-11,2021-02-11 11:00:00,30-39,1703
Крихівці,2021-02-16,2021-02-16 12:00:00,30-39,1700
Угринів,2021-02-19,2021-02-19 09:00:00,30-39,1699
Крихівці,2021-02-09,2021-02-09 17:00:00,30-39,1692
Угринів,2021-02-15,2021-02-15 10:00:00,30-39,1691
Угринів,2021-02-09,2021-02-09 18:00:00,30-39,1687
Крихівці,2021-02-11,2021-02-11 13:00:00,30-39,1687
Крихівці,2021-02-08,2021-02-08 13:00:00,30-39,1681
Угринів,2021-02-05,2021-02-05 18:00:00,30-39,1680
Крихівці,2021-02-02,2021-02-02 17:00:00,30-39,1679
Крихівці,2021-02-08,2021-02-08 14:00:00,30-39,1673
Крихівці,2021-02-05,2021-02-05 10:00:00,30-39,1668
Крихівці,2021-02-02,2021-02-02 14:00:00,30-39,1663
Крихівці,2021-02-10,2021-02-10 12:00:00,30-39,1662
Угринів,2021-02-11,2021-02-11 08:00:00,30-39,1659
Угринів,2021-02-03,2021-02-03 18:00:00,30-39,1651
Угринів,2021-02-12,2021-02-12 17:00:00,30-39,1650
Крихівці,2021-02-08,2021-02-08 15:00:00,30-39,1649
Крихівці,2021-02-02,2021-02-02 15:00:00,30-39,1645
Крихівці,2021-02-17,2021-02-17 12:00:00,30-39,1641
Угринів,2021-02-04,2021-02-04 08:00:00,30-39,1640
Крихівці,2021-02-17,2021-02-17 16:00:00,30-39,1638
Угринів,2021-02-05,2021-02-05 08:00:00,30-39,1635
Крихівці,2021-02-04,2021-02-04 16:00:00,30-39,1632
Угринів,2021-02-02,2021-02-02 18:00:00,30-39,1628
Угринів,2021-02-04,2021-02-04 18:00:00,30-39,1626
Угринів,2021-02-12,2021-02-12 09:00:00,30-39,1622
Крихівці,2021-02-19,2021-02-19 15:00:00,30-39,1622
Крихівці,2021-02-16,2021-02-16 11:00:00,30-39,1620
Угринів,2021-02-01,2021-02-01 08:00:00,30-39,1619
Угринів,2021-02-03,2021-02-03 08:00:00,30-39,1619
Крихівці,2021-02-11,2021-02-11 10:00:00,30-39,1618
Крихівці,2021-02-18,2021-02-18 13:00:00,30-39,1618
Крихівці,2021-02-19,2021-02-19 16:00:00,30-39,1613
Крихівці,2021-02-16,2021-02-16 13:00:00,30-39,1600
Крихівці,2021-02-04,2021-02-04 17:00:00,30-39,1599
Угринів,2021-02-08,2021-02-08 18:00:00,30-39,1590
Крихівці,2021-02-16,2021-02-16 16:00:00,30-39,1590
Крихівці,2021-02-12,2021-02-12 12:00:00,30-39,1589
Угринів,2021-02-15,2021-02-15 17:00:00,30-39,1588
Крихівці,2021-02-12,2021-02-12 16:00:00,30-39,1583
Крихівці,2021-02-12,2021-02-12 13:00:00,30-39,1581
Угринів,2021-02-01,2021-02-01 18:00:00,30-39,1579
Крихівці,2021-02-11,2021-02-11 14:00:00,30-39,1578
Крихівці,2021-02-02,2021-02-02 09:00:00,30-39,1576
Крихівці,2021-02-17,2021-02-17 15:00:00,30-39,1576
Крихівці,2021-02-17,2021-02-17 14:00:00,30-39,1573
Крихівці,2021-02-18,2021-02-18 11:00:00,30-39,1570
Крихівці,2021-02-16,2021-02-16 15:00:00,30-39,1567
Крихівці,2021-02-11,2021-02-11 15:00:00,30-39,1562
Крихівці,2021-02-01,2021-02-01 09:00:00,30-39,1562
Угринів,2021-02-15,2021-02-15 09:00:00,30-39,1556
Угринів,2021-02-11,2021-02-11 18:00:00,30-39,1553
Крихівці,2021-02-18,2021-02-18 16:00:00,30-39,1543
